CODGEO,NOM_COMMUNE,POPULATION,DEP,REG
78007,Aigremont,1075,78,11
78009,Allainville,281,78,11
78010,Les Alluets-le-Roi,1390,78,11
78013,Andelu,550,78,11
78015,Andrésy,13834,78,11
78020,Arnouville-lès-Mantes,951,78,11
78029,Aubergenville,12723,78,11
78030,Auffargis,1963,78,11
78031,Auffreville-Brasseuil,671,78,11
78033,Aulnay-sur-Mauldre,1180,78,11
78034,Auteuil,1020,78,11
78036,Autouillet,665,78,11
78043,Bailly,3731,78,11
78048,Bazainville,1469,78,11
78049,Bazemont,1727,78,11
78050,Bazoches-sur-Guyonne,721,78,11
78053,Béhoust,533,78,11
78057,Bennecourt,1747,78,11
78062,Beynes,7704,78,11
78068,Blaru,907,78,11
78070,Boinville-en-Mantois,285,78,11
78071,Boinville-le-Gaillard,597,78,11
78072,Boinvilliers,243,78,11
78073,Bois-d'Arcy,16586,78,11
78076,Boissets,301,78,11
78077,La Boissière-École,747,78,11
78082,Boissy-Mauvoisin,615,78,11
78084,Boissy-sans-Avoir,616,78,11
78087,Bonnelles,2165,78,11
78089,Bonnières-sur-Seine,5064,78,11
78090,Bouafle,2234,78,11
78092,Bougival,9134,78,11
78096,Bourdonné,506,78,11
78104,Breuil-Bois-Robert,764,78,11
78107,Bréval,2151,78,11
78108,Les Bréviaires,1302,78,11
78113,Brueil-en-Vexin,652,78,11
78117,Buc,5816,78,11
78118,Buchelay,3360,78,11
78120,Bullion,1916,78,11
78123,Carrières-sous-Poissy,20825,78,11
78124,Carrières-sur-Seine,14791,78,11
78125,La Celle-les-Bordes,840,78,11
78126,La Celle-Saint-Cloud,20460,78,11
78128,Cernay-la-Ville,1516,78,11
78133,Chambourcy,5847,78,11
78138,Chanteloup-les-Vignes,10861,78,11
78140,Chapet,1331,78,11
78143,Châteaufort,1564,78,11
78146,Chatou,30598,78,11
78147,Chaufour-lès-Bonnières,442,78,11
78152,Chavenay,1723,78,11
78158,Le Chesnay-Rocquencourt,30689,78,11
78160,Chevreuse,5502,78,11
78162,Choisel,540,78,11
78163,Civry-la-Forêt,373,78,11
78164,Clairefontaine-en-Yvelines,850,78,11
78165,Les Clayes-sous-Bois,16804,78,11
78168,Coignières,4321,78,11
78171,Condé-sur-Vesgre,1279,78,11
78172,Conflans-Sainte-Honorine,36958,78,11
78185,Courgent,414,78,11
78188,Cravent,438,78,11
78189,Crespières,1719,78,11
78190,Croissy-sur-Seine,11013,78,11
78192,Dammartin-en-Serve,1441,78,11
78193,Dampierre-en-Yvelines,1008,78,11
78194,Dannemarie,229,78,11
78196,Davron,295,78,11
78202,Drocourt,554,78,11
78206,Ecquevilly,4279,78,11
78208,Élancourt,26365,78,11
78209,Émancé,872,78,11
78217,Épône,7031,78,11
78220,Les Essarts-le-Roi,6831,78,11
78224,L'Étang-la-Ville,5157,78,11
78227,Évecquemont,754,78,11
78230,La Falaise,609,78,11
78231,Favrieux,157,78,11
78233,Feucherolles,3043,78,11
78234,Flacourt,184,78,11
78236,Flexanville,576,78,11
78237,Flins-Neuve-Église,162,78,11
78238,Flins-sur-Seine,2447,78,11
78239,Follainville-Dennemont,2184,78,11
78242,Fontenay-le-Fleury,13680,78,11
78245,Fontenay-Mauvoisin,460,78,11
78246,Fontenay-Saint-Père,949,78,11
78255,Freneuse,4505,78,11
78261,Gaillon-sur-Montcient,689,78,11
78262,Galluis,1298,78,11
78263,Gambais,2574,78,11
78264,Gambaiseuil,64,78,11
78265,Garancières,2621,78,11
78267,Gargenville,7869,78,11
78269,Gazeran,1492,78,11
78276,Gommecourt,613,78,11
78278,Goupillières,570,78,11
78281,Goussonville,650,78,11
78283,Grandchamp,300,78,11
78285,Gressey,533,78,11
78289,Grosrouvre,902,78,11
78290,Guernes,1085,78,11
78291,Guerville,2052,78,11
78296,Guitrancourt,646,78,11
78297,Guyancourt,29778,78,11
78299,Hardricourt,2599,78,11
78300,Hargeville,418,78,11
78302,La Hauteville,157,78,11
78305,Herbeville,228,78,11
78307,Hermeray,1007,78,11
78310,Houdan,3721,78,11
78311,Houilles,33983,78,11
78314,Issou,4060,78,11
78317,Jambville,793,78,11
78320,Notre-Dame-de-la-Mer,742,78,11
78321,Jouars-Pontchartrain,6039,78,11
78322,Jouy-en-Josas,7981,78,11
78324,Jouy-Mauvoisin,554,78,11
78325,Jumeauville,638,78,11
78327,Juziers,4065,78,11
78329,Lainville-en-Vexin,805,78,11
78334,Lévis-Saint-Nom,1603,78,11
78335,Limay,17885,78,11
78337,Limetz-Villez,2110,78,11
78343,Les Loges-en-Josas,1645,78,11
78344,Lommoye,639,78,11
78346,Longnes,1601,78,11
78349,Longvilliers,496,78,11
78350,Louveciennes,7990,78,11
78354,Magnanville,6383,78,11
78356,Magny-les-Hameaux,9386,78,11
78358,Maisons-Laffitte,23093,78,11
78361,Mantes-la-Jolie,43526,78,11
78362,Mantes-la-Ville,22332,78,11
78364,Marcq,802,78,11
78366,Mareil-le-Guyon,420,78,11
78367,Mareil-Marly,4141,78,11
78368,Mareil-sur-Mauldre,1776,78,11
78372,Marly-le-Roi,16756,78,11
78380,Maule,6083,78,11
78381,Maulette,1088,78,11
78382,Maurecourt,4454,78,11
78383,Maurepas,20629,78,11
78384,Médan,1289,78,11
78385,Ménerville,216,78,11
78389,Méré,1731,78,11
78391,Méricourt,383,78,11
78396,Le Mesnil-le-Roi,6332,78,11
78397,Le Mesnil-Saint-Denis,7276,78,11
78398,Les Mesnuls,910,78,11
78401,Meulan-en-Yvelines,8950,78,11
78402,Mézières-sur-Seine,3923,78,11
78403,Mézy-sur-Seine,2242,78,11
78404,Millemont,272,78,11
78406,Milon-la-Chapelle,295,78,11
78407,Mittainville,659,78,11
78410,Moisson,902,78,11
78413,Mondreville,381,78,11
78415,Montainville,589,78,11
78416,Montalet-le-Bois,322,78,11
78417,Montchauvet,275,78,11
78418,Montesson,14549,78,11
78420,Montfort-l'Amaury,2779,78,11
78423,Montigny-le-Bretonneux,32465,78,11
78431,Morainvilliers,3120,78,11
78437,Mousseaux-sur-Seine,689,78,11
78439,Mulcent,128,78,11
78440,Les Mureaux,34632,78,11
78442,Neauphle-le-Château,3250,78,11
78443,Neauphle-le-Vieux,937,78,11
78444,Neauphlette,871,78,11
78451,Nézel,1139,78,11
78455,Noisy-le-Roi,7713,78,11
78460,Oinville-sur-Montcient,1131,78,11
78464,Orcemont,985,78,11
78465,Orgerus,2489,78,11
78466,Orgeval,7252,78,11
78470,Orphin,875,78,11
78472,Orsonville,325,78,11
78474,Orvilliers,925,78,11
78475,Osmoy,413,78,11
78478,Paray-Douaville,218,78,11
78481,Le Pecq,16059,78,11
78484,Perdreauville,701,78,11
78486,Le Perray-en-Yvelines,6480,78,11
78490,Plaisir,31811,78,11
78497,Poigny-la-Forêt,957,78,11
78498,Poissy,40983,78,11
78499,Ponthévrard,693,78,11
78501,Porcheville,3382,78,11
78502,Le Port-Marly,5559,78,11
78505,Prunay-le-Temple,409,78,11
78506,Prunay-en-Yvelines,808,78,11
78513,La Queue-les-Yvelines,2629,78,11
78516,Raizeux,970,78,11
78517,Rambouillet,27724,78,11
78518,Rennemoulin,116,78,11
78520,Richebourg,1570,78,11
78522,Rochefort-en-Yvelines,910,78,11
78528,Rolleboise,346,78,11
78530,Rosay,387,78,11
78531,Rosny-sur-Seine,7328,78,11
78536,Sailly,354,78,11
78537,Saint-Arnoult-en-Yvelines,5875,78,11
78545,Saint-Cyr-l'École,21268,78,11
78548,Saint-Forget,436,78,11
78550,Saint-Germain-de-la-Grange,1847,78,11
78551,Saint-Germain-en-Laye,45931,78,11
78557,Saint-Hilarion,999,78,11
78558,Saint-Illiers-la-Ville,350,78,11
78559,Saint-Illiers-le-Bois,449,78,11
78561,Saint-Lambert,447,78,11
78562,Saint-Léger-en-Yvelines,1468,78,11
78564,Saint-Martin-de-Bréthencourt,690,78,11
78565,Saint-Martin-des-Champs,304,78,11
78567,Saint-Martin-la-Garenne,942,78,11
78569,Sainte-Mesme,904,78,11
78571,Saint-Nom-la-Bretèche,4965,78,11
78575,Saint-Rémy-lès-Chevreuse,7747,78,11
78576,Saint-Rémy-l'Honoré,1689,78,11
78586,Sartrouville,52763,78,11
78588,Saulx-Marchais,950,78,11
78590,Senlisse,511,78,11
78591,Septeuil,2264,78,11
78597,Soindres,757,78,11
78601,Sonchamp,1678,78,11
78605,Tacoignières,1219,78,11
78606,Le Tartre-Gaudran,37,78,11
78608,Le Tertre-Saint-Denis,137,78,11
78609,Tessancourt-sur-Aubette,966,78,11
78615,Thiverval-Grignon,1023,78,11
78616,Thoiry,1434,78,11
78618,Tilly,530,78,11
78620,Toussus-le-Noble,1172,78,11
78621,Trappes,34689,78,11
